datum,návštěvnost,tržba
2024-12-12,353,28100
2024-12-13,232,17828
2024-12-14,282,23805
2024-12-15,268,22820
2024-12-16,393,33295
2024-12-17,211,17352
2024-12-18,257,19519
2024-12-19,287,22756
2024-12-20,273,22620
2024-12-21,261,20759
2024-12-22,262,21702
2024-12-23,346,29157
2024-12-24,226,18603
2024-12-25,0,0
2024-12-26,234,19690
2024-12-27,356,28885
2024-12-28,407,32766
2024-12-29,399,34348
2024-12-30,456,39486
2024-12-31,374,31885
2025-01-01,219,14625
